City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san antonio de pale,-1.4014,5.6325,22.08,75,99,4.44,GQ,1722902905
1,waitangi,-43.9535,-176.5597,10.56,84,53,2.68,NZ,1722902906
2,ribeira grande,38.5167,-28.7,24.87,92,18,2.68,PT,1722902909
3,adamstown,-25.066,-130.1015,19.04,71,17,5.94,PN,1722902910
4,tiksi,71.6872,128.8694,15.2,62,100,3.43,RU,1722902912
5,mantua,45.1667,10.7833,25.61,83,20,1.34,IT,1722902913
6,lasem,-6.6922,111.4527,24.28,74,100,2.92,ID,1722902914
7,bethel,41.3712,-73.414,26.93,83,43,0.45,US,1722902915
8,hobyo,5.3505,48.5268,24.08,85,71,11.19,SO,1722902916
9,port-aux-francais,-49.35,70.2167,1.41,81,86,10.89,TF,1722902917
10,kasumkent,41.6773,48.146,23.06,59,0,2.18,RU,1722902918
11,puerto ayora,-0.7393,-90.3518,20.26,86,73,4.47,EC,1722902919
12,bilibino,68.0546,166.4372,4.77,57,96,0.46,RU,1722902920
13,vilyuchinsk,52.9306,158.4028,15.15,83,100,2.26,RU,1722902921
14,happy valley-goose bay,53.3168,-60.3315,16.37,64,61,2.32,CA,1722902846
15,agat village,13.3886,144.6585,30.42,84,20,2.57,GU,1722902924
16,uturoa,-16.7333,-151.4333,26.14,78,36,7.19,PF,1722902925
17,la sarre,48.8002,-79.1996,15.47,62,66,2.41,CA,1722902927
18,port elizabeth,-33.918,25.5701,10.73,66,0,1.34,ZA,1722902928
19,san patricio,28.017,-97.5169,32.17,51,51,6.58,US,1722902929
20,ushuaia,-54.8,-68.3,-6.36,92,86,1.66,AR,1722902930
21,hengchun,22.0042,120.7439,29.26,78,83,3.32,TW,1722902931
22,serhetabat,35.2799,62.3438,25.05,21,0,2.26,TM,1722902932
23,avarua,-21.2078,-159.775,26.03,78,0,3.6,CK,1722902933
24,mbanza kongo,-6.267,14.2401,19.15,73,68,2.45,AO,1722902935
25,santarem,-2.4431,-54.7083,27.07,83,0,2.06,BR,1722902721
26,blackmans bay,-43.0167,147.3167,11.52,63,100,0.89,AU,1722902938
27,pathein,16.7833,94.7333,25.58,89,100,0.74,MM,1722902940
28,sikonge,-5.6333,32.7667,16.53,33,1,1.01,TZ,1722902941
29,invercargill,-46.4,168.35,12.79,65,63,4.02,NZ,1722902942
30,madugula,17.9167,82.8,24.71,80,100,2.2,IN,1722902945
31,'ain el melh,34.8415,4.1638,24.04,40,0,0.81,DZ,1722902947
32,grytviken,-54.2811,-36.5092,-10.37,78,99,5.02,GS,1722902948
33,greenwood,34.1668,-82.1165,26.71,84,0,2.57,US,1722902792
34,mahbubabad,17.6167,80.0167,25.03,92,100,2.09,IN,1722902950
35,saipan,15.1355,145.701,32.39,70,40,3.09,MP,1722902951
36,west island,-12.1568,96.8225,25.99,73,23,3.09,CC,1722902952
37,kirakira,-10.4544,161.9205,27.11,80,100,5.38,SB,1722902953
38,puerto natales,-51.7236,-72.4875,-1.15,92,63,0.92,CL,1722902954
39,fruita,39.1589,-108.729,39.64,11,0,3.6,US,1722902955
40,east london,-33.0153,27.9116,12.59,50,0,2.1,ZA,1722902720
41,howard springs,-12.497,131.047,26.04,85,37,3.6,AU,1722902957
42,palmer,42.1584,-72.3287,26.78,66,48,3.77,US,1722902958
43,mil'kovo,55.6078,37.7956,16.27,79,55,1.82,RU,1722902959
44,yellowknife,62.456,-114.3525,23.01,40,75,3.09,CA,1722902800
45,alofi,-19.0595,-169.9187,23.94,83,100,3.09,NU,1722902961
